name,ring,quadrant,isNew,description
Deno,3,Frontend ,FALSE,Runtime
Bun,3,Backend,FALSE,Runtime
Bun,3,Frontend ,FALSE,Runtime
AsyncAPI,3,Backend,FALSE,Api Documentation
CockroachDB,3,Backend,FALSE,NoSQL DB
GraalVM,3,Backend,FALSE,Native Compilation/JDK
GitOps,3,Plattform,FALSE,
GCP,3,Plattform,FALSE,
CDK (For AWS/Terraform),3,Plattform,FALSE,infrastructure as code.
OpenJDK CRaC,3,Backend,FALSE,Eks. AWS Lambda SnapStart
REST API Level 0,4,Backend,FALSE,
Jakarta EE ,4,Backend,FALSE,Gamle Java EE donert til Eclipse foundation.
Java backends uten webrammeverk,4,Backend,FALSE,
Java (gammel),4,Backend,FALSE,Java v 7- 11 legacy java.
JUnit 4,4,Backend,FALSE,Test Framework
Groovy,4,Backend,FALSE,Language
Grails,4,Backend,FALSE,Web Framework
Rust,3,Backend,FALSE,Language
TypeScript,1,Frontend,FALSE,Typesystem for JavaScript
React,1,Frontend,FALSE,UI-bibliotek
Vue,2,Frontend,FALSE,UI-bibliotek
Svelte,2,Frontend,FALSE,UI-bibliotek
Remix,2,Frontend,FALSE,Meta-rammeverk
NextJS,2,Frontend,FALSE,Meta-rammeverk
CSS,1,Frontend,FALSE,Web standard
JavaScript,1,Frontend,FALSE,Web standard
HTML,1,Frontend,FALSE,Web standard
SVG,2,Frontend,FALSE,Web standard
WebAssembly,3,Frontend,FALSE,Web standard
Web Components,2,Frontend,FALSE,Web standard
PWA,2,Frontend,FALSE,Prinsipp/arkitektur
DOM API,1,Frontend,FALSE,Web standard
CSS-in-JS,2,Frontend,FALSE,Prinsipp/arkitektur
CSS Modules,2,Frontend,FALSE,Web standard
Houdini CSS,3,Frontend,FALSE,Web standard
Vite,1,Frontend,FALSE,Byggverktøy
RollupJS,2,Frontend,FALSE,Byggverktøy
Webpack,4,Frontend,FALSE,Byggverktøy
Turbo,3,Frontend,FALSE,Byggverktøy
Lerna,3,Frontend,FALSE,Byggverktøy
Universell utforming,1,Frontend,FALSE,
Histoire,3,Frontend,FALSE,Dokumentasjonsverktøy
Storybook,3,Frontend,FALSE,Dokumentasjonsverktøy
Ladle,3,Frontend,FALSE,Dokumentasjonsverktøy
Test Driven Development,2,Arkitektur,FALSE,
"Testing (Unit, integration, performance, …)",1,Arkitektur,FALSE,
Soft skills,2,Arkitektur,FALSE,
Architecture patterns and why they work for what,2,Arkitektur,FALSE,
Arkitekturmål og målarkitektur,2,Arkitektur,FALSE,
Helsiktig / generell domene innsikt,2,Arkitektur,FALSE,
Cloud Native,1,Arkitektur,FALSE,
Rask læring,1,Arkitektur,FALSE,
Draw.io,3,Arkitektur,FALSE,
C4 model,3,Arkitektur,FALSE,
Archimate,3,Arkitektur,FALSE,
Continuous Discovery,3,Arkitektur,FALSE,
Data mesh,3,Arkitektur,FALSE,
Vitest,2,Frontend,FALSE,Testrammeverk
Cypress,2,Frontend,FALSE,Testrammeverk
Rendering patterns,1,Frontend,FALSE,SPA/SSR/etc
Design patterns,1,Frontend,FALSE,Prinsipp/arkitektur
Performance patterns,2,Frontend,FALSE,Prinsipp/arkitektur
Frontend Arkitektur,1,Frontend,FALSE,Prinsipp/arkitektur
Test patterns,1,Frontend,FALSE,Prinsipp/arkitektur
Design tokens,3,Frontend,FALSE,Prinsipp/arkitektur
NPM,1,Frontend,FALSE,Byggsteg
SCSS,4,Frontend,FALSE,CSS extension
Deno,3,Frontend,FALSE,Runtime
Playwright,3,Frontend,FALSE,Testrammeverk
Less,4,Frontend,FALSE,CSS extension
Jest,4,Frontend,FALSE,Testrammeverk
Tailwind,2,Frontend,FALSE,CSS rammeverk
Testing Library,3,Frontend,FALSE,Testing utilities
